	I213_B_31	I213_B_32	I213_B_33	I213_B_41	I213_B_42	I213_B_43	I213_B_51	I213_B_52	I213_B_53	I213_C_31	I213_C_32	I213_C_33	I213_C_41	I213_C_42	I213_C_43	I213_C_51	I213_C_52	I213_C_53
STN4L_00001	18397	16186	15079	20666	16547	17066	13147	10290	10220	18194	12241	18235	14829	16801	12633	5981	6847	4231
STN4L_00002	43041	36773	35151	38186	30809	29657	34262	25997	30289	40411	29582	35121	31175	32814	28207	26268	24412	19560
STN4L_00003	209	151	317	387	297	278	739	410	601	484	429	302	444	464	420	490	478	438
STN4L_00004	3516	2898	2971	4026	3276	3247	4588	3278	4417	3470	2788	3127	2749	3737	2919	3967	3694	3106
STN4L_00005	3424	2730	2247	3167	2471	2392	3387	2635	3792	2688	1798	2397	2171	2542	2179	2927	2653	2380
STN4L_00006	6603	6916	6409	7110	6321	5826	5957	4492	5205	8451	6944	8590	5752	5950	5590	3863	3709	3018
STN4L_00007	8623	8649	7741	8190	7623	6606	5512	4756	4862	10783	8466	10862	6156	6748	6043	3566	3599	2878
STN4L_00008	8550	8281	6351	6404	5854	5058	4701	4198	4343	9114	7660	9581	5318	5863	4900	3114	3278	2857
STN4L_00009	8990	8326	7748	7231	6599	6134	5757	4613	5021	11321	9697	10867	5606	6584	5674	3328	3521	3415
STN4L_00010	14031	12295	12120	10562	9418	9010	7560	6011	6951	15806	12193	14860	7634	9776	8255	5095	5466	4622
STN4L_00011	4001	3174	3508	3941	2775	2385	3069	2112	2303	3226	3298	2583	2722	3125	3351	2084	2243	2207
STN4L_00012	1533	1405	1139	1188	956	910	965	827	846	1194	936	960	976	1026	897	662	697	550
STN4L_00013	6260	4957	6020	5666	4512	4593	5448	4196	4605	5968	5013	4936	5031	5278	4776	3653	4117	3177
STN4L_00014	11634	7072	8821	13665	9243	8966	15942	11366	16314	8113	5460	5831	9620	11473	9766	15974	13977	16069
STN4L_00015	48	50	39	53	43	38	40	49	34	63	65	47	53	40	51	28	30	25
STN4L_00016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STN4L_00017	135	117	149	182	132	120	155	101	108	174	150	190	134	146	133	103	112	111
STN4L_00018	5117	4394	5021	4792	3836	3642	1840	1719	1564	7507	6400	7515	4632	4209	3478	921	1353	843
STN4L_00019	7197	6297	7145	6935	6194	5421	2774	2489	2467	10821	9216	12089	6307	5945	5039	1556	1913	1466
STN4L_00020	6454	5483	5596	5709	4916	4177	2661	2586	2600	8995	7636	7914	5406	5389	4737	1541	1906	1575
STN4L_00021	250	230	235	260	242	184	183	179	144	422	404	337	298	318	292	84	106	88
STN4L_00022	1321	1089	1342	1308	1264	1116	803	737	769	1966	1529	1909	1173	1415	1279	437	604	459
STN4L_00023	672	542	767	901	609	576	893	648	658	1015	800	916	736	746	780	464	501	364
STN4L_00025	4595	4175	4050	4897	3769	3884	4273	3295	3615	5439	5262	4981	4069	4457	3688	2428	2421	2420
STN4L_00026	4749	4608	3653	4304	3410	3343	3812	3166	3562	4129	3912	3950	3503	3538	2955	2283	2210	2018
STN4L_00027	9202	9749	10303	12230	10624	9979	15889	11252	14793	10448	9475	10489	9126	10273	9266	12051	10067	10401
STN4L_00028	74940	67520	61127	85855	70169	68250	101181	70213	95563	69889	55006	61682	62697	71536	59635	82261	72154	68332
STN4L_00029	45924	36201	42652	55078	38930	39489	61310	41669	56112	48399	38973	46131	42284	44722	37769	53283	48143	46438
STN4L_00030	3413	3164	2847	3405	2950	2825	4419	3022	4566	4333	2861	3590	3057	3093	2812	4838	3123	3941
STN4L_00031	22587	20153	25455	19904	19179	17275	11142	8977	9989	37561	33847	36537	21195	26716	23064	8508	10360	8165
STN4L_00032	3556	3144	4338	3351	3017	2815	2026	1616	1933	5695	5509	5642	3584	4945	4475	1886	2179	2141
STN4L_00033	1619	1526	1797	1450	1330	1284	907	733	784	2586	2325	2532	1467	1945	1558	714	784	881
STN4L_00034	2821	2840	4553	3269	3144	2773	2262	1700	2003	6529	6832	5870	3327	4600	4040	1731	2053	2064
STN4L_00035	15	14	17	20	15	7	29	39	39	25	13	25	41	32	28	39	33	27
STN4L_00036	4183	4101	5366	7729	5946	6700	12765	9140	13251	7267	6800	7146	6702	6815	5882	9410	8563	8816
STN4L_00037	1752	1326	1094	1796	1283	1299	2933	2114	3154	1386	1022	1070	1261	1319	1165	2571	1988	2683
STN4L_00038	35	40	14	34	36	28	22	26	31	31	22	55	38	33	13	14	24	12
STN4L_00039	444	470	496	797	645	568	439	378	419	854	667	835	654	595	557	286	307	281
STN4L_00040	1356	1087	1069	1448	1130	1141	922	801	831	1599	1397	1632	1104	1261	1177	488	579	480
STN4L_00041	2113	1949	1588	2432	2115	1980	1376	1186	1174	2836	2288	2896	2197	2202	1937	788	1038	720
STN4L_00042	841	827	712	1025	1007	948	551	482	559	1123	965	1220	804	874	725	296	372	288
STN4L_00043	2744	2520	2377	2772	2512	2321	1534	1402	1320	3206	2306	3207	2358	2524	2329	1011	1146	824
STN4L_00044	2564	2493	2804	3145	2831	2579	2638	1952	2024	5179	3843	4903	3201	3161	2836	1643	1950	1809
STN4L_00045	10779	10695	8408	10826	9101	8075	6832	5321	5402	17087	11491	15315	9621	9523	8675	4249	4464	3757
STN4L_00046	228	188	237	241	179	174	178	120	195	298	215	297	225	206	187	122	146	79
STN4L_00047	24215	19624	17565	17830	16599	14381	9706	9445	9726	21394	16011	18583	12680	14623	11883	5008	5827	5380
STN4L_00048	62772	52913	46309	48075	40357	33191	20188	19340	18928	50537	35984	44715	37761	39109	32260	11327	13944	11159
STN4L_00049	746	844	715	730	537	529	401	287	333	732	752	836	567	658	470	211	267	214
STN4L_00050	992	1040	830	923	724	738	590	472	489	1086	958	1076	673	662	512	220	286	281
STN4L_00051	2	5	5	9	12	14	4	1	0	12	8	7	5	11	4	0	2	1
STN4L_00052	2993	2495	2232	2753	2190	2049	3033	2087	2539	2406	1966	2100	2050	2291	1926	2420	2393	2177
STN4L_00053	14731	11623	11595	14869	11275	11453	15213	11076	13632	11791	8900	10088	11052	11615	9969	11356	11757	9288
STN4L_00054	1832	1563	1743	1863	1370	1507	2156	1564	2058	1758	1280	1352	1439	1576	1347	1414	1464	1250
STN4L_00055	252	241	272	915	1123	765	794	787	924	408	487	531	259	414	480	280	314	416
STN4L_00056	214	225	189	617	697	595	692	686	817	214	337	404	163	279	343	183	219	299
STN4L_00057	2223	1773	1724	2710	2404	2311	3093	2513	3262	1885	1564	1712	1617	2163	1904	2515	2232	2760
STN4L_00058	4721	4655	4348	3815	3579	3367	3271	2399	3403	4420	4008	4676	2884	3276	2926	2393	2140	2484
STN4L_00059	20746	15306	19186	17295	13850	10287	6929	5027	5065	22184	17238	19591	14164	15311	13312	5107	5688	5430
STN4L_00060	3	0	0	0	0	0	0	0	0	1	3	3	2	2	3	0	3	1
STN4L_00061	15961	13568	13967	16886	14632	12177	6684	5931	5832	19145	14673	18253	16006	16112	13773	4639	5614	4237
STN4L_00062	14759	12391	12540	13561	11255	9479	5845	5425	5198	17704	13297	15704	11965	11804	11363	3778	4514	3806
STN4L_00063	6305	5352	4836	5357	4491	4122	2320	2055	1959	7558	5380	6498	5086	5286	5087	1644	1868	1587
STN4L_00064	10761	9083	8251	8727	7811	7114	3723	3835	3490	12468	9890	11408	6879	7777	6695	2197	2719	2396
STN4L_00065	1056	1212	1594	1082	879	779	417	368	294	1559	1696	1871	1036	871	717	151	219	192
STN4L_00066	38695	31434	32024	42944	32109	32302	37789	26617	31317	31699	23481	27524	29793	34472	28869	25056	27622	20438
STN4L_00067	18	34	20	18	13	12	11	17	11	21	18	17	32	24	18	6	16	5
STN4L_00068	0	2	0	0	0	1	1	0	0	0	3	0	0	3	2	3	0	2
STN4L_00069	16604	13875	16403	19123	14565	13520	8493	7028	6061	17073	14441	15511	15110	15363	14299	4345	5970	4254
STN4L_00070	9100	8539	8313	9439	7404	7262	4257	3745	3126	9144	7323	8468	7690	7759	6797	2153	2791	1974
STN4L_00071	15791	13775	13309	15451	13143	12156	6479	6393	5229	16505	13094	15754	11220	12411	10295	3146	4931	3390
STN4L_00072	29928	27934	24417	27442	24860	21934	13091	11974	10130	32903	24969	30642	22677	22962	21099	6765	9716	6523
STN4L_00073	13577	13481	14313	13567	12519	10504	7121	5989	5628	16897	13876	15761	12630	12774	12651	4089	5872	4028
STN4L_00074	31560	30112	31204	26824	25687	22065	14046	12036	11390	39023	30237	35080	23290	27599	23974	7536	10852	7592
STN4L_00075	14298	13272	14420	11424	10731	9838	5821	5470	5134	18750	17884	18445	10235	12817	10157	2886	4449	3283
STN4L_00076	11203	10116	10559	7879	6756	6118	3300	2904	2809	12476	9859	12469	6653	8086	6335	2174	2782	2098
STN4L_00077	69	76	50	64	52	48	20	24	26	139	121	130	58	71	44	27	9	25
STN4L_00078	1470	1052	1094	1441	1187	1160	1832	1290	1658	1023	795	1065	1104	1306	1043	1509	1411	1213
STN4L_00079	1579	1132	1124	1657	1359	1348	2055	1452	1923	1138	881	1072	1196	1489	1256	1667	1438	1436
STN4L_00080	4	4	2	2	4	2	3	3	3	3	3	1	3	0	3	1	1	2
STN4L_00081	9714	9493	9948	9053	7939	6861	5314	4792	4409	10056	7594	10103	7076	8454	6457	3455	4481	3194
STN4L_00082	26920	23512	21108	24526	18916	17353	12615	12124	11230	25576	19527	23502	17829	20288	16202	7665	9892	7055
STN4L_00083	23082	18255	21669	26355	18472	14636	12830	10699	9922	24216	20210	19374	31100	30928	34140	12431	16513	9996
STN4L_00084	2645	2024	2763	2835	2103	2025	1838	1420	1395	2848	2556	2671	2609	2576	2515	1154	1380	965
STN4L_00085	6160	6426	6474	7845	6888	6031	4687	3920	3694	7740	6433	7412	6939	6192	5912	2457	2906	2070
STN4L_00086	9449	9178	8388	10232	8876	7243	5812	5132	4779	10192	7734	9996	8101	7906	7253	3134	3742	2810
STN4L_00087	3434	3102	2583	3344	2757	2130	2300	2086	1946	3405	2712	2905	3293	2779	2862	1336	1527	1117
STN4L_00088	5221	5089	4635	5539	4953	4252	11927	9659	9769	5636	4416	5477	4757	4946	4585	7331	8042	5709
STN4L_00089	426	620	625	575	539	460	506	411	387	1008	857	945	647	595	544	288	383	247
STN4L_00090	1050	1300	1208	1034	1185	942	953	855	865	2035	1445	1956	1216	1184	1030	632	793	515
STN4L_00091	11	8	9	14	9	15	10	6	3	25	10	26	11	12	4	4	6	8
STN4L_00092	212	235	164	194	191	157	138	122	151	234	210	267	185	201	156	103	110	82
STN4L_00093	481	612	584	511	573	426	461	418	383	862	717	989	686	569	643	381	480	298
STN4L_00094	3079	2540	3147	1861	1787	1256	699	663	816	7497	7273	6982	1903	1768	1457	614	634	620
STN4L_00095	209	128	153	158	154	185	153	124	142	272	183	215	161	181	220	125	213	146
STN4L_00096	73	79	73	83	113	87	114	97	94	163	123	125	62	71	98	67	82	96
STN4L_00097	9	4	12	13	5	1	13	7	14	21	22	14	10	22	14	11	5	4
STN4L_00098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STN4L_00099	17	27	34	29	22	25	19	33	26	53	43	45	17	34	33	24	24	27
STN4L_00100	105764	84759	81935	90539	72420	70374	60710	51167	63413	92954	80377	87398	70730	84843	73130	52639	64514	54663
STN4L_00101	125	118	121	141	119	116	193	168	170	128	76	102	151	143	115	208	147	164
STN4L_00102	20729	20028	18583	13574	14450	11745	3404	3239	3333	24803	21044	27469	12693	14866	12061	2776	3510	2645
STN4L_00103	6126	5454	5247	3549	3264	2881	1072	1030	1176	7545	6611	7837	3036	3664	2970	693	972	801
STN4L_00104	6498	5823	5786	4450	4358	3930	2265	1928	2273	9479	9479	8931	3753	4875	4227	1619	1761	1686
STN4L_00105	11299	10404	9156	7766	6801	6612	3208	2845	3388	13224	12325	13895	5072	7618	5911	2412	2681	2336
STN4L_00106	6628	5514	6061	4405	4159	3995	2050	1694	2062	7978	7594	8303	3211	4951	3803	1654	1773	1619
STN4L_00107	28519	19761	18609	27604	20780	23825	27290	24348	33521	27155	21043	21554	23469	29831	24142	27426	26890	29325
STN4L_00108	50117	35078	41165	57047	48023	50121	47692	36905	49022	52828	42788	44677	50153	72787	64459	62943	66705	62918
STN4L_00109	17781	11830	13019	17417	13665	15204	15343	12101	15760	16583	13747	13255	13772	20280	19027	16507	16606	17879
STN4L_00110	8227	6435	6249	8964	6804	7023	9275	6824	8429	7737	5977	6892	6391	7563	6750	5983	6966	4605
STN4L_00111	13241	12459	11642	13960	11120	11194	12612	9025	11175	12943	10311	12506	10437	11568	10050	8618	8974	6985
STN4L_00112	21228	18188	15639	17937	14493	13454	17013	13060	15721	17254	13003	15079	12875	14141	11926	11275	11886	9343
STN4L_00113	16830	17152	16229	18811	16706	15149	17427	12800	17913	17416	14066	16901	14356	15632	13166	17596	14943	16497
STN4L_00114	18975	15820	19061	20037	17209	16433	21311	14370	21324	18711	14961	19052	16596	18903	15577	26686	21745	18034
STN4L_00115	12844	10936	11046	15314	12624	11645	12696	9285	11428	15997	11661	14153	12847	12773	11527	10468	9205	9188
STN4L_00116	10496	8262	8118	11284	9833	9337	7824	5922	7121	11805	7624	10831	8830	9274	8098	6533	5725	5281
STN4L_00117	11110	9289	8614	11627	8844	8646	7728	6320	6853	12064	9033	11555	9273	9757	8944	5642	5670	4766
STN4L_00118	14253	12939	12067	15054	11964	11265	9810	8412	8810	16212	12292	14336	12585	13015	11486	6363	6866	5760
STN4L_00119	34320	28869	26190	32763	27074	24016	16808	14805	14731	30704	22978	29921	25089	28015	23737	12817	14166	10610
STN4L_00120	285	208	304	428	348	378	189	225	196	544	465	456	442	472	405	148	154	126
STN4L_00121	372	271	292	369	336	312	179	149	204	382	238	424	278	305	234	126	93	91
STN4L_00122	5067	5347	4712	6111	4857	4751	2638	2256	2228	6573	5148	7437	5305	4787	4041	1396	1693	1741
STN4L_00123	5754	5601	5953	6662	5818	4094	2570	2330	2086	8932	6923	8327	6860	5497	5387	1550	1779	1569
STN4L_00124	5455	5151	4661	5895	5722	4083	2064	1903	1883	6469	4830	6618	5118	4866	4352	1496	1868	1572
STN4L_00127	6265	6125	4706	6787	5577	5558	7420	5068	7181	6028	4417	5905	5807	6307	5357	6829	5279	4659
STN4L_00128	9231	9429	8117	10866	9682	8578	9556	7418	9094	10242	7817	10242	8682	8772	7413	7723	6392	5663
STN4L_00129	11881	11292	9822	12752	11112	9583	11277	8858	10646	14622	10816	13891	11100	10713	9150	8991	7389	6825
STN4L_00130	24126	18902	18827	32031	24774	24113	28672	22727	24354	24807	18534	19325	25129	25514	22582	17414	17095	13725
STN4L_00131	48	52	39	74	50	62	62	62	50	75	53	49	84	66	57	25	20	23
STN4L_00132	25	30	32	29	23	24	22	16	18	40	45	37	35	35	39	14	9	10
STN4L_00133	20741	16433	15651	15473	12143	11145	9897	8046	10131	21268	15163	17174	13438	14671	13665	8121	7696	7116
STN4L_00134	0	0	1	4	5	0	5	5	2	2	1	10	1	6	1	1	0	0
STN4L_00135	6	11	9	8	15	11	13	13	14	19	10	21	12	23	9	9	15	13
STN4L_00136	48	32	34	72	43	54	107	72	76	42	40	35	64	71	53	124	85	93
STN4L_00137	52	41	41	85	55	56	116	82	109	42	45	47	48	63	85	135	101	109
STN4L_00138	294	251	215	312	279	249	603	426	684	221	177	200	302	250	235	557	409	530
STN4L_00139	1	2	2	1	5	0	0	2	1	4	1	5	4	1	3	2	4	0
STN4L_00140	1	1	2	0	4	0	0	1	3	0	3	2	2	6	2	4	3	1
STN4L_00141	3	3	5	7	0	8	2	1	9	4	2	4	2	2	1	3	3	2
STN4L_00142	17465	15948	15995	18855	15658	14567	18218	14564	18784	18050	15689	18568	14922	16211	14767	15079	15309	16047
STN4L_00143	23261	19199	19624	21183	17197	16256	32993	22430	35185	21009	18311	17671	15740	18317	18767	28238	25167	29323
STN4L_00144	37410	32681	31609	34267	29266	26965	52589	38529	57942	33701	30153	30327	28216	33033	31457	48395	45723	46353
STN4L_00145	21272	16711	16569	18906	14640	14827	29611	22285	34552	18136	14854	15486	14211	17253	16564	25753	24817	26426
STN4L_00146	10564	9538	9950	10443	9184	9353	16023	11184	15753	11989	9142	11045	8134	10428	9690	12978	11119	12104
STN4L_00147	95753	82045	74240	101419	80790	73657	283958	223708	297974	95327	84304	81759	93470	104113	112084	261681	237810	276735
STN4L_00148	278503	227802	235403	310959	257209	259963	1026585	771121	1083708	291297	241940	262140	279641	376370	407151	1067204	944974	997999
STN4L_00149	2767	2125	2040	3082	2499	2740	3539	2911	3372	2800	2027	2440	2438	3205	2883	2756	2824	2470
STN4L_00150	18498	15132	14377	19204	16004	16846	18722	15062	17599	17111	11876	15705	15758	18373	15581	16388	17038	13228
STN4L_00151	57	37	73	60	64	41	72	59	55	102	81	86	63	54	80	56	47	47
STN4L_00152	8	6	12	16	6	10	10	10	7	13	17	7	6	5	10	8	6	9
STN4L_00153	4	3	2	1	0	1	1	5	1	7	3	3	3	0	4	0	5	3
STN4L_00154	170	157	229	260	223	218	363	242	292	267	190	239	233	270	228	343	317	330
STN4L_00155	260	240	250	429	318	313	537	324	455	298	253	289	310	372	345	579	458	549
STN4L_00156	1687	1347	1739	2099	1649	1414	3286	1953	2546	1779	1589	1534	1707	1799	1777	2817	2484	2937
STN4L_00157	159	146	141	324	371	726	511	858	1358	158	127	183	108	128	85	74	90	58
STN4L_00158	1153	1013	1396	2954	3461	5491	3098	5487	6349	1604	1571	1621	1186	1426	1225	598	747	548
STN4L_00159	391	364	515	908	1367	1905	834	1657	1850	625	655	715	466	593	475	188	352	238
STN4L_00160	332	364	318	591	1082	1357	498	1167	1329	543	419	535	259	377	254	133	165	119
STN4L_00161	61	22	60	131	116	176	69	111	151	80	46	67	65	79	61	25	56	31
STN4L_00162	192	213	289	559	753	1011	471	980	1300	446	478	452	275	358	302	143	249	144
STN4L_00163	39	42	40	59	110	117	63	136	160	39	52	56	24	44	43	12	19	21
STN4L_00164	37	30	26	52	26	25	44	21	39	40	24	30	27	34	27	48	24	49
STN4L_00165	58	30	37	63	39	35	78	41	59	66	35	42	56	45	52	72	57	41
STN4L_00166	8	2	7	6	10	10	13	8	5	9	12	17	8	7	12	9	17	12
STN4L_00167	12	17	7	5	14	6	1	3	11	19	11	16	20	15	4	3	5	3
STN4L_00168	297	296	298	344	332	326	487	367	433	258	208	257	358	385	372	432	374	328
STN4L_00169	446	338	386	575	580	486	615	546	595	393	332	403	426	514	418	504	383	417
STN4L_00170	8	10	4	9	5	8	8	7	11	5	5	13	20	9	15	6	10	5
STN4L_00171	11568	10511	9756	12401	9695	9000	8186	6739	7126	11972	9430	11682	9224	9834	8163	6084	5889	5140
STN4L_00172	2370	2040	1957	2303	1825	1879	1507	1307	1403	2695	1887	2454	1630	1793	1387	934	861	883
STN4L_00173	273	290	266	331	286	230	225	165	185	349	330	339	214	222	217	130	141	149
STN4L_00174	1617	1315	1656	1751	1272	1335	1413	1031	1105	2093	1730	2194	1435	1360	1367	839	851	699
STN4L_00175	152	169	150	160	142	105	88	70	85	239	192	241	142	117	97	55	70	54
STN4L_00176	123	104	137	141	115	101	111	81	100	153	170	131	148	137	140	69	69	65
STN4L_00177	112	102	107	151	167	148	127	97	121	130	145	184	142	184	154	97	120	92
STN4L_00178	50	48	60	67	87	57	69	57	66	99	70	70	76	134	123	89	97	77
STN4L_00179	29	28	18	26	30	36	38	27	34	56	16	41	32	37	28	21	49	38
STN4L_00180	473	487	446	508	465	408	496	358	392	488	408	557	538	531	523	347	404	348
STN4L_00181	68	59	49	58	48	54	76	47	70	69	39	84	73	72	46	36	37	25
STN4L_00182	1	3	1	3	1	0	4	1	5	1	2	6	0	1	1	1	1	0
STN4L_00183	320	321	388	380	326	353	462	344	390	553	393	438	410	434	353	260	275	198
STN4L_00184	42	56	38	34	48	39	38	40	31	40	27	64	37	42	34	22	27	32
STN4L_00185	1594	1278	1128	2513	2016	1717	3137	2356	2689	1405	1126	1191	1907	2122	1751	2454	2227	2083
STN4L_00186	2188	1724	1657	3450	3144	2852	3891	2985	3160	1783	1485	1707	2824	3321	2564	3482	3596	2777
STN4L_00187	219	345	246	317	255	220	266	241	247	467	384	544	364	331	275	237	196	150
STN4L_00188	6767	5961	7053	10235	9386	7664	14843	10750	14778	7342	7258	6781	7754	8323	7910	13175	10606	16261
STN4L_00189	8991	6996	6548	7968	6061	5517	7267	5768	6429	6922	5374	5759	5954	6348	5680	5219	4960	3938
STN4L_00190	4	2	2	16	7	6	7	5	6	14	10	6	7	11	12	13	10	4
STN4L_00191	1866	1603	1401	2353	1916	1785	2304	1828	2325	2032	1606	1853	1823	2268	1833	1794	1962	1664
STN4L_00192	18316	15992	16066	18593	15592	13894	10568	8667	9781	23542	17466	18948	17547	17090	14770	7309	7723	7265
STN4L_00193	1086	770	820	1098	706	927	768	659	758	1393	923	932	956	1065	937	471	602	288
STN4L_00194	7904	6664	7422	8979	6841	6381	5841	4872	4947	9063	7117	8028	8184	8789	7596	4090	4633	3687
STN4L_00195	15612	12359	14642	16790	12931	12115	10590	8763	9345	17171	13017	14670	15060	14931	13442	7190	7860	6511
STN4L_00196	3137	2361	1994	3493	2601	2470	4401	3435	4003	2456	1880	2124	2497	2785	2302	2582	2792	2078
STN4L_00197	3232	2595	2268	3486	2713	2715	3855	3135	3569	2292	1533	1915	2422	2553	2187	2861	2645	2143
STN4L_00198	1389	866	1266	2060	1467	1611	2816	1829	2511	1291	981	1128	1604	1945	1936	2458	1940	2016
STN4L_00199	19	34	32	47	40	56	49	32	44	16	21	38	45	56	60	53	32	53
STN4L_00200	172	250	287	235	167	134	95	76	120	288	296	365	216	190	171	58	56	78
STN4L_00201	1055	1087	871	799	693	528	472	417	517	1714	1287	1741	791	808	661	373	445	359
STN4L_00202	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	1	0	0
STN4L_00203	18993	14210	15903	15910	12758	15671	15933	11466	14081	20477	12431	14757	15398	16838	13533	9336	8749	5212
STN4L_00205	91	108	97	120	91	85	74	70	97	109	95	118	97	107	92	69	72	103
STN4L_00206	12285	10801	10933	14512	10814	8894	8792	7267	6742	18473	13563	13915	14714	12175	10577	4976	4919	4474
STN4L_00207	68790	48919	50069	86790	65704	71501	154034	98020	156635	54662	36639	39993	64421	70182	63689	171562	112603	157411
STN4L_00208	721	444	641	967	527	752	1766	1141	1851	619	328	445	811	913	789	2165	1472	1039
STN4L_00209	1045	873	752	842	776	832	624	566	678	1200	1037	1186	801	978	866	542	624	477
STN4L_00210	7	19	15	22	45	22	39	85	124	16	9	20	36	37	15	15	25	12
STN4L_00211	10	9	10	22	11	8	19	30	67	15	2	10	10	16	4	6	11	10
STN4L_00212	46	53	46	105	143	109	126	269	405	43	31	47	39	55	42	29	49	44
STN4L_00213	10	9	3	26	6	5	22	28	42	7	6	5	7	3	13	5	6	3
STN4L_00214	1051	901	786	914	663	692	603	464	501	1046	797	1126	750	769	673	376	412	338
STN4L_00215	879	912	832	914	697	565	602	447	488	1072	907	1132	755	741	669	361	399	358
STN4L_00216	199	189	183	194	188	156	154	122	103	242	172	234	187	164	195	86	66	91
STN4L_00217	775	813	696	643	635	578	477	422	441	910	737	927	569	705	633	341	388	350
STN4L_00218	1207	1266	1050	1151	977	999	954	695	813	1369	1004	1270	955	1023	873	568	648	516
STN4L_00219	1282	1012	912	958	703	642	760	616	682	1052	759	971	787	772	672	533	566	362
STN4L_00220	894	700	687	682	573	643	931	626	847	942	849	877	761	1053	1010	1306	1285	1417
STN4L_00221	471	377	356	356	306	357	497	287	475	498	423	458	363	426	447	533	506	520
STN4L_00222	761	631	625	711	481	552	820	595	807	695	744	837	648	843	719	1064	1056	972
STN4L_00223	116	113	177	174	123	113	240	145	171	236	262	140	224	255	271	307	311	216
STN4L_00224	498	469	616	565	447	463	630	426	570	733	751	710	562	614	552	726	719	667
STN4L_00225	510	394	516	569	414	365	565	452	452	610	632	658	505	642	555	627	639	671
STN4L_00226	0	1	1	1	3	0	3	2	2	3	6	3	2	0	4	1	4	0
STN4L_00227	3626	3493	5067	5933	5925	5616	3394	2943	2830	5395	5127	5100	5072	6106	5030	2061	3565	2472
STN4L_00228	1351	1244	1531	1972	1881	2047	982	939	1099	2349	2195	2117	1497	1941	1684	628	1161	821
STN4L_00229	119	91	151	161	180	162	79	69	120	223	194	160	115	167	134	55	84	74
STN4L_00230	148	103	172	153	136	164	109	91	115	202	166	162	130	165	137	51	102	74
STN4L_00231	62	45	61	80	42	39	21	24	18	71	59	43	54	84	58	27	8	15
STN4L_00232	76	52	45	51	31	49	13	6	20	72	63	60	63	82	80	22	23	20
STN4L_00233	357	415	329	440	333	338	162	138	157	487	346	429	323	399	282	136	149	110
STN4L_00234	168	115	108	127	89	112	77	61	80	194	170	165	148	172	140	58	67	60
STN4L_00235	115	114	95	90	83	61	57	25	34	160	157	136	92	71	62	37	39	28
STN4L_00236	1803	1897	1757	1490	1372	1112	688	543	638	2379	1919	2272	1321	1362	1270	483	573	417
STN4L_00237	1084	1065	933	638	598	598	269	242	270	982	703	989	566	642	525	203	212	170
STN4L_00238	0	0	1	0	2	0	0	0	0	1	2	0	0	0	0	0	0	0
STN4L_00239	0	1	2	4	2	1	0	3	1	1	1	2	3	4	3	1	1	1
STN4L_00240	23	27	19	20	28	16	24	10	17	22	19	24	31	22	26	17	17	14
STN4L_00241	11	15	6	15	14	15	10	13	9	14	11	17	12	8	14	6	9	13
STN4L_00242	33	31	40	40	32	34	34	24	25	32	40	45	51	61	40	34	26	20
STN4L_00243	53	51	29	47	39	20	66	45	43	42	42	27	47	51	39	32	29	44
STN4L_00244	19	6	20	25	16	18	22	28	17	25	13	16	15	20	18	14	6	11
STN4L_00245	140	77	83	135	122	99	155	135	134	121	109	134	107	142	111	103	111	129
STN4L_00246	149	104	123	190	107	139	174	125	129	146	97	111	138	137	106	176	166	144
STN4L_00247	32	20	14	14	15	13	18	27	45	24	5	12	20	9	13	32	23	15
STN4L_00248	4799	3733	3849	4877	3565	3588	4281	3224	3671	3635	3073	3448	3673	4162	3762	3392	3190	2461
STN4L_00249	6468	5236	5433	6932	5821	5653	6646	4953	5310	5831	5282	5793	4958	6026	5154	4287	4358	3256
STN4L_00250	6781	5652	4496	7137	5971	5395	4725	4264	4244	5841	4139	5464	5233	5546	4414	2635	3220	2135
STN4L_00251	15253	12138	10625	18061	13207	14431	29321	19827	31676	11362	8513	10984	12059	14568	11936	32254	25077	26199
STN4L_00252	16644	14382	13929	18556	13775	13554	27020	18718	27404	16360	12959	14444	14243	15089	13513	23927	19375	21470
STN4L_00253	16	16	11	8	11	17	23	20	21	16	21	25	15	22	14	6	16	8
STN4L_00254	0	2	3	4	4	2	0	0	1	5	2	3	4	3	2	2	2	0
STN4L_00255	1	1	3	0	0	0	1	1	0	1	0	0	1	5	0	0	2	0
STN4L_00256	175	153	156	163	129	132	85	84	87	184	157	203	130	155	112	70	82	72
STN4L_00257	167	158	170	177	153	124	110	108	125	231	179	275	138	149	158	108	74	58
STN4L_00258	278	149	328	653	186	404	1268	853	1358	415	537	313	401	584	528	606	481	320
STN4L_00259	13829	12951	11716	11335	9142	9097	4993	4433	4026	11975	9908	11321	8910	10398	8441	2384	3353	2175
STN4L_00260	15186	13448	15370	16066	12445	11686	5338	4745	3873	20039	17690	18141	13929	15784	12745	2712	3980	2330
STN4L_00261	5260	4930	4425	7768	6583	6225	6620	5035	5310	5624	4509	5459	6158	7155	6084	5322	4902	4633
STN4L_00262	42991	36707	32855	54532	41743	40173	44542	35150	38084	41864	29838	38886	42288	45836	38541	36278	32957	27674
STN4L_00263	11508	9428	7828	8904	7120	6825	6647	5804	6403	10051	7906	8627	7137	7948	6466	4073	5109	3940
