	I213_B_31	I213_B_32	I213_B_33	I213_B_41	I213_B_42	I213_B_43	I213_B_51	I213_B_52	I213_B_53	I213_C_31	I213_C_32	I213_C_33	I213_C_41	I213_C_42	I213_C_43	I213_C_51	I213_C_52	I213_C_53
STN4L_short_321	3	6	7	7	8	5	6	7	2	6	8	8	4	7	9	4	2	8
STN4L_short_322	2	0	1	4	2	5	1	0	0	1	7	3	1	4	2	1	1	2
STN4L_short_323	5	4	4	4	6	2	3	2	2	11	9	7	3	9	3	4	3	3
STN4L_short_324	116	93	122	92	61	68	91	66	96	163	133	221	46	73	46	45	41	22
STN4L_short_325	4	6	3	4	6	4	4	8	7	10	13	9	3	4	6	10	9	2
STN4L_short_326	134	85	143	186	134	149	144	117	118	191	172	151	173	143	175	90	106	75
STN4L_short_327	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
STN4L_short_328	7	3	8	9	7	4	3	7	3	7	14	8	5	8	10	5	2	1
STN4L_short_329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STN4L_short_330	0	1	0	3	2	2	1	0	2	1	1	2	0	2	1	2	0	3
STN4L_short_331	3	7	6	13	6	9	6	2	3	6	2	11	8	13	5	2	0	0
STN4L_short_332	247	274	354	326	341	324	123	97	106	846	688	946	481	521	417	130	165	123
STN4L_short_333	120	155	107	61	103	89	46	53	47	245	153	269	241	185	163	79	43	45
STN4L_short_334	287	172	474	344	202	120	153	67	87	970	784	556	515	456	523	131	164	153
STN4L_short_335	9	7	5	9	2	4	5	3	6	6	9	9	2	2	6	2	5	4
STN4L_short_336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STN4L_short_337	13	13	24	20	23	25	14	21	14	24	20	18	22	25	25	12	16	12
STN4L_short_338	673	972	639	276	199	190	153	119	153	510	377	422	223	349	246	99	113	106
STN4L_short_339	430	643	488	183	153	150	139	107	130	393	426	366	215	297	247	88	91	71
STN4L_short_340	45	77	23	4	19	15	17	13	15	61	28	68	59	26	52	19	5	18
STN4L_short_341	862	1394	478	423	442	335	204	192	177	638	394	714	522	447	372	116	92	126
STN4L_short_342	0	1	1	0	0	0	0	0	2	0	3	0	1	1	1	1	1	0
STN4L_short_343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STN4L_short_344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STN4L_short_345	0	0	0	0	0	1	0	1	0	2	0	0	0	0	1	1	0	0
STN4L_short_346	1	3	2	1	2	1	1	1	0	1	3	2	2	3	5	1	2	1
STN4L_short_347	3	0	2	11	4	2	22	9	21	8	5	5	6	5	2	7	20	16
STN4L_short_348	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1
STN4L_short_349	110	188	101	122	142	119	168	190	162	239	158	328	334	231	204	208	143	115
STN4L_short_350	191	111	176	238	138	126	197	164	199	192	157	133	150	194	141	90	117	62
STN4L_short_351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STN4L_short_352	380	308	515	433	275	260	127	74	67	499	302	480	472	361	437	95	118	70
STN4L_short_353	7	13	10	14	13	13	19	20	19	21	21	15	13	21	13	11	21	13
STN4L_short_354	1	2	0	2	0	1	2	2	2	4	1	2	1	2	0	2	4	2
STN4L_short_355	0	0	0	2	2	3	3	0	1	3	0	2	0	2	0	0	1	2
STN4L_short_356	7	7	10	14	3	8	20	14	13	2	7	2	8	11	4	19	11	12
STN4L_short_357	1	1	0	0	3	3	1	1	1	5	0	4	1	2	0	0	0	4
STN4L_short_358	68	88	32	18	45	22	22	23	19	71	49	63	73	58	63	19	20	11
STN4L_short_359	4	8	3	2	4	4	5	8	3	8	5	11	5	6	1	5	8	5
STN4L_short_360	0	1	2	3	5	2	4	2	2	3	1	1	2	2	0	3	3	0
STN4L_short_361	3	1	6	3	2	8	10	8	6	4	7	10	7	5	3	6	2	4
STN4L_short_362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STN4L_short_363	4	7	2	9	4	15	16	9	11	9	6	16	11	4	7	7	5	5
